Resultados de la consulta
Document ID	amount	createdAt	date	id	installments	notes	paymentMethod	paymentType	projectId	projectNumber
027e5fb9-858a-4a2f-a11b-2e347982c508	749460	17 de abril de 2025, 3:58:34 p.m. UTC-4	8 de abril de 2025, 8:00:00 p.m. UTC-4		0		"transferencia"	"proyecto"	"683c51bf-4f69-4be8-a30c-776eb76a1a18"	
031f2f0f-7a9a-4165-a2b0-73a1f27d8960	1000000	17 de abril de 2025, 3:47:34 p.m. UTC-4	16 de abril de 2025, 8:00:00 p.m. UTC-4		0		"transferencia"	"cliente"	"6e0bae6c-f62f-423f-a48e-4030d6a0e3ea"	
0555d9df-aab5-4265-9dcf-e830bf755203	300000	20 de febrero de 2025, 5:53:27 p.m. UTC-3	13 de febrero de 2025, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"81ac2f96-6e3c-4dfc-b0a6-dcf1bfb1b231"	
075d6703-8858-4592-9a6b-65cb340011d4	3629300	12 de febrero de 2025, 4:01:33 p.m. UTC-3	23 de enero de 2025, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"b3183619-3488-47b7-a400-20334f7677cf"	
08148804-95e3-4c65-bb73-51d4b0a034e7	350000	11 de febrero de 2025, 7:51:54 p.m. UTC-3	9 de enero de 2025, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"905dd243-a086-4929-bfe7-a7aff773bd89"	
09582597-4f1c-41b1-b4bc-e2c47846fe76	785400	18 de mayo de 2025, 9:30:12 p.m. UTC-4	12 de mayo de 2025, 8:00:00 p.m. UTC-4		6		"tarjeta de crédito"	"proyecto"	"ff5a35b3-a785-4193-a07b-4591355f3c0c"	
0b384cf8-1d67-4abe-aeca-8f072f251d7f	180000	21 de febrero de 2025, 12:27:21 p.m. UTC-3	5 de diciembre de 2024, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"32be3c9f-166f-41dd-8bc6-121a4420b503"	
0d4f3c61-d2f0-4c25-a13a-c1c5f99f89f1	6050630	17 de abril de 2025, 4:36:15 p.m. UTC-4	13 de abril de 2025, 8:00:00 p.m. UTC-4		0		"transferencia"	"proyecto"	"cc00b9a0-dfab-4ccd-a963-93190efbac30"	
112f98da-a157-44b3-8c84-430172610608	200000	29 de abril de 2025, 11:10:50 a.m. UTC-4	24 de abril de 2025, 8:00:00 p.m. UTC-4		0		"transferencia"	"proyecto"	"4e318d76-b35f-4f6d-b706-f72f9687f507"	
1170b936-6dea-43ec-9d48-3f9322793444	250000	19 de febrero de 2025, 1:55:45 p.m. UTC-3	28 de noviembre de 2024, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"7d336b7a-02cc-4432-b376-986b6ddd7778"	
1175a336-a1cc-448b-a9bf-3ac4a201b5a6	1141150	12 de febrero de 2025, 4:10:11 p.m. UTC-3	11 de febrero de 2025, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"6932cb11-2ad8-4315-9219-34467e56f52e"	
13369c51-68ca-4d67-b93a-824e36bda8db	1160250	12 de febrero de 2025, 6:29:47 p.m. UTC-3	3 de diciembre de 2024, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"25321ddf-6827-4e31-aabc-40ca02e64a5a"	
147c1a87-31ff-4673-b281-2f3b34d42573	2440040	11 de febrero de 2025, 8:29:00 p.m. UTC-3	22 de diciembre de 2024, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"81ac2f96-6e3c-4dfc-b0a6-dcf1bfb1b231"	
14f7ebc8-1b03-4e1d-8c90-55b4f04397cb	577150	17 de abril de 2025, 3:29:39 p.m. UTC-4	16 de abril de 2025, 8:00:00 p.m. UTC-4		0		"transferencia"	"proyecto"	"908e6c30-6012-49ab-9f12-78a576d1bb24"	
1767fd81-4e8a-4731-9b53-09029852ba06	288575	29 de abril de 2025, 10:42:56 a.m. UTC-4	22 de abril de 2025, 8:00:00 p.m. UTC-4		0		"transferencia"	"proyecto"	"4237b618-95a1-4336-8db0-5784ff6e252f"	
18b79382-1b0c-4918-a5cc-631e5542e1c2	1592200	19 de febrero de 2025, 1:51:30 p.m. UTC-3	16 de febrero de 2025, 9:00:00 p.m. UTC-3		0		"transferencia"	"cliente"	"172b7966-df41-4d4c-badc-53e0ca729cea"	
18f6eb08-6e85-4caf-bff3-c3631e91badf	1200000	20 de febrero de 2025, 5:53:54 p.m. UTC-3	15 de febrero de 2025, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"81ac2f96-6e3c-4dfc-b0a6-dcf1bfb1b231"	
19fdab6f-7d86-459f-a80a-c9b34b8b25bc	273700	19 de abril de 2025, 10:00:26 a.m. UTC-4	20 de marzo de 2025, 9:00:00 p.m. UTC-3		6		"tarjeta de crédito"	"proyecto"	"03848f4d-c91b-407c-a1e7-0effa1dbf666"	
19ff960f-28a3-4760-9945-06142e183ee0	809200	19 de abril de 2025, 9:44:03 a.m. UTC-4	5 de enero de 2025, 9:00:00 p.m. UTC-3		6		"tarjeta de crédito"	"proyecto"	"8063a64b-9781-4cdc-ab05-f8ebcc7263ea"	
1ac1ad47-24cd-443a-8e43-61d31994f8f3	2000000	12 de febrero de 2025, 3:58:23 p.m. UTC-3	15 de enero de 2025, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"172b7966-df41-4d4c-badc-53e0ca729cea"	
1ed743db-68dc-4001-8d58-928e6b19c56a	200000	14 de febrero de 2025, 5:42:15 p.m. UTC-3	21 de noviembre de 2024, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"7a8565ce-d567-4b3e-9aa9-20822176596f"	
2315d1dd-fc7b-4168-a6e6-e52683996402	1	25 de marzo de 2025, 11:24:20 a.m. UTC-3	12 de marzo de 2025, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"9659a9e4-cde0-4de7-84dd-d9e1ab954156"	
277c6927-7ca7-4d1f-a505-422c6c06418e	60000	17 de abril de 2025, 3:47:34 p.m. UTC-4	16 de abril de 2025, 8:00:00 p.m. UTC-4		0		"transferencia"	"cliente"	"25321ddf-6827-4e31-aabc-40ca02e64a5a"	
28822778-5422-4ad2-96ce-826a5ece4834	503700	17 de abril de 2025, 3:45:12 p.m. UTC-4	1 de abril de 2025, 9:00:00 p.m. UTC-3		0		"transferencia"	"cliente"	"55b56ff6-31e0-4b8d-84be-77e1a5e62ab7"	
28cb4ccd-d95c-4fda-9049-e699c31da591	500000	17 de abril de 2025, 12:48:56 p.m. UTC-4	25 de marzo de 2025, 9:00:00 p.m. UTC-3		0		"transferencia"	"proyecto"	"216b4bfa-883f-47e3-b77c-73964c7aa64e"	
